treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_SKILLBOOK_Ranger_Snipe",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_TacticalRetreat",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ArrowSpray",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_RainOfArrows",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ElementalArrowheads",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_PinDown",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_SkyShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_Multishot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ReactionShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_BallisticShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_Farsight",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_RogueTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Rogue_Adrenaline",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_Choloroform",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_ThrowingKnife",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_Vault",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_SerratedEdge",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_CloakAndDagger",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_Fatality",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_DaggersDrawn",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_LaunchBomber",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_CorruptedBlade",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_FanOfKnives",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_GagOrder",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_SleepingArms",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_TerrifyingCruelty",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_KneeBreaker",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_SummoningTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Summoning_Incarnate",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_DimensionalBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_TotemFromSurface",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_RangedInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_PowerInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Harmony",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Supercharge",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_PlanarGateway",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_ShadowInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Cannibalize",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_SoulMate",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Ethereal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_WarpInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Charm",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_CloseTheDoor",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_WarriorTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Warrior_BatteringRam",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_GroundSmash",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_CripplingBlow",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Enrage",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Overpower",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_PhoenixDive",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Whirlwind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_BlinkStrike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Flurry",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Taunt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_BouncingShield",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Challenge",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_GuardianAngel",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_ThickOfTheFight",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_DeflectiveBarrier",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_WaterTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Water_Rain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_FrostyShell",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_Restoration",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_WinterBlast",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_GlobalCooling",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_SteamLance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_ChainHeal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_HailStrike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_FrostAura",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_IceFan",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_ArcaneStitch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_CryogenicStasis",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_HailAttack",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_Shatter",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_IceBreaker",1,0,0,0,0,0,0,0
